Grupo de alimento,Alimento,Gramaje,KCAL,PROT,MUFA,PUFA,SAT,SODIO,AZUCAR AÑADIDA
Leche y derivados,Leche entera,100,64,3.3,1.06,0.14,2.28,0.049,
Leche y derivados,Leche entera con sabor,100,80,2.4,0.87,0.15,1.84,0.0596,
Leche y derivados,leche semidescremada,100,42,2.6,0.35,0.05,1.0,0.06,
Leche y derivados,leche semidescremada con sabor,100,76,3.0,0.46,0.09,1.18,0.066,
Leche y derivados,leche descremada,100,42,3.4,0.28,0.04,0.63,0.044,
Leche y derivados,quesillo,100,103,12.5,1.29,0.14,2.85,0.405,
Leche y derivados,queso ,100,356,20.8,8.82,0.44,16.34,0.536,
Leche y derivados,queso crema,100,350,6.2,9.81,1.48,20.21,0.314,
Leche y derivados,yogurt con sabor,100,101,4.4,0.81,0.15,1.73,0.0463,
Leche y derivados,yogurt natural,100,61,3.5,0.89,0.09,2.1,0.046,
Huevo,huevo entero,100,143,12.6,3.66,1.91,3.13,0.142,
Carnes y visceras,pollo cocido,100,176,27.3,2.39,1.54,1.84,0.07,
Carnes y visceras,carne de cerdo,100,293,25.1,9.49,2.34,7.51,0.161,
Carnes y visceras,carne de vacuno,100,138,23.6,1.3,0.1,1.1,0.086,
Carnes y visceras,jamon de pavo,100,124,1.7,0.86,1.15,1.09,1.038,
Carnes y visceras,longaniza,100,346,14.3,14.34,4.03,11.27,0.731,
Carnes y visceras,paté,100,429,11.5,20.83,3.4,17.77,0.446,
Carnes y visceras,vianesa,100,250,12.0,8.76,5.63,6.91,0.793,
Pescados y mariscos,Almeja ,100,74,12.8,0.08,0.28,0.09,0.056,
Pescados y mariscos,chorito,100,86,11.9,0.51,0.61,0.43,0.286,
Pescados y mariscos,camaron,100,85,20.1,0.09,0.15,0.1,0.119,
Pescados y mariscos,atun en agua,100,131,29.6,0.14,0.13,0.16,0.356,
Pescados y mariscos,jurel,100,105,20.3,0.76,0.46,0.36,0.158,
Pescados y mariscos,merluza,100,89,18.6,0.22,0.33,0.18,0.053,
Pescados y mariscos,salmón,100,146,21.6,2.13,1.99,1.26,0.046,
Legumbres,Arvejas,100,81,5.4,0.04,0.19,0.07,0.005,
Legumbres,Garbanzo ,100,163,8.8,0.58,1.16,0.27,0.007,
Legumbres,Haba,100,72,5.6,0.02,0.331,0.14,0.05,
Legumbres,Lenteja ,100,116,9.0,0.05,0.06,0.4,0.002,
Legumbres,Poroto ,100,139,9.7,0.03,0.15,0.09,0.006,
Legumbres,Porotos negros,100,341,21.6,0.12,0.61,0.37,0.005,
Cereales,Pan Integral,100,252,12.5,0.62,1.59,0.72,0.455,
Cereales,Marraqueta,100,272,10.8,0.36,0.86,0.53,0.602,
Cereales,Pan de molde,100,244,8.1,0.08,0.3,0.23,0.466,
Cereales,Pan pita,100,275,9.1,0.11,0.54,0.17,0.536,
Cereales,Tortilla para tacos,100,269,8.9,1.5,1.6,2.8,0.354,
Cereales,Arroz,100,130,2.7,0.09,0.08,0.08,0.001,
Cereales,Arroz integral,100,112,2.3,0.3,0.3,0.17,0.001,
Cereales,Cabritas,100,387,12.9,0.95,2.32,0.64,0.008,
Cereales,Choclo,100,96,3.4,0.37,0.6,0.2,0.001,
Cereales,Mote,100,131,3.5,0.05,0.16,0.06,0.013,
Cereales,Quinoa,100,351,12.2,0.69,1.9,0.41,0.023,
Cereales,Avena,100,389,16.9,2.18,2.54,1.22,0.002,
Cereales,Granola,100,442,11.4,10.27,2.98,4.54,0.044,
Cereales,Cuscús,100,112,3.8,0.02,0.06,0.03,0.005,
Cereales,Fideos,100,149,6.0,0.18,0.57,0.24,0.004,
Cereales,Fideos de arroz,100,108,1.8,0.03,0.02,0.02,0.019,
Cereales,Galleta Champaña,100,409,5.6,2.7,1.7,2.2,0.217,49.0
Cereales,Galleta Cereal,100,430,7.6,7.73,3.1,5.08,0.219,
Cereales,Galleta Chocolate,100,463,7.1,10.19,2.61,4.97,0.266,
Cereales,Galleta vino,100,405,7.4,6.46,2.2,5.32,0.235,
Cereales,Galleta Cracker,100,386,5.7,1.72,3.37,0.0,0.629,22.9
Cereales,Galleta de agua,100,384,8.0,4.29,2.86,2.27,0.67,
Cereales,Chuño,100,351,8.0,0.02,0.35,0.21,0.034,
Cereales,Maicena,100,381,0.3,0.02,0.03,0.01,0.009,
Cereales,Sémola,100,360,12.7,0.12,0.43,0.15,0.001,
Cereales,Papas,100,89,2.3,0.0,0.04,0.03,0.012,
Grasas y Aceites,Almendras,100,579,21.2,31.55,12.33,3.8,0.001,
Grasas y Aceites,Avellana,100,628,15.0,45.65,7.92,4.46,0.0,
Grasas y Aceites,Maní,100,567,25.8,24.43,15.56,6.28,0.018,
Grasas y Aceites,Nueces,100,606,24.3,12.7,37.5,3.63,0.001,
Grasas y Aceites,Pistacho,100,560,20.2,23.26,14.38,5.91,0.001,
Grasas y Aceites,Crema ácida,100,181,7.0,4.1,0.5,8.7,0.07,
Grasas y Aceites,Crema Chantilly,100,345,2.1,10.7,1.37,23.0,0.037,
Grasas y Aceites,Mantequilla,100,717,0.9,21.02,3.04,51.37,0.643,
Grasas y Aceites,Margarina,100,700,0.6,25.1,7.14,25.39,0.686,
Grasas y Aceites,Mayonesa,100,717,1.1,22.7,41.3,11.8,0.568,
Grasas y Aceites,Mayonesa casera,100,671,7.2,20.98,37.41,8.08,0.827,
Grasas y Aceites,Aceite de canola,100,884,0.0,61.15,26.4,7.76,0.0,
Grasas y Aceites,Aceite de coco,100,892,0.0,6.33,1.7,82.48,0.0,
Grasas y Aceites,Aceite de maravilla,100,884,0.0,19.5,65.7,10.3,0.0,
Grasas y Aceites,Aceite de oliva,100,884,0.0,72.96,10.52,13.81,0.002,
Grasas y Aceites,Aceite de oliva extra virgen,100,887,0.2,73.5,6.59,12.13,0.0003,
Grasas y Aceites,Aceite de palma,100,884,0.0,37.0,9.3,49.3,0.0,
